mbgd_organism_id	tax_id
http://mbgd.genome.ad.jp/rdf/resource/organism/sco	http://identifiers.org/taxonomy/100226
http://mbgd.genome.ad.jp/rdf/resource/organism/siv	http://identifiers.org/taxonomy/1002809
http://mbgd.genome.ad.jp/rdf/resource/organism/cfu	http://identifiers.org/taxonomy/1005048
http://mbgd.genome.ad.jp/rdf/resource/organism/gan	http://identifiers.org/taxonomy/1005058
http://mbgd.genome.ad.jp/rdf/resource/organism/put	http://identifiers.org/taxonomy/1007105
http://mbgd.genome.ad.jp/rdf/resource/organism/rha	http://identifiers.org/taxonomy/101510
http://mbgd.genome.ad.jp/rdf/resource/organism/ngg	http://identifiers.org/taxonomy/1028800
http://mbgd.genome.ad.jp/rdf/resource/organism/asf	http://identifiers.org/taxonomy/1029718
http://mbgd.genome.ad.jp/rdf/resource/organism/mph	http://identifiers.org/taxonomy/1032480
http://mbgd.genome.ad.jp/rdf/resource/organism/aka	http://identifiers.org/taxonomy/1036672
http://mbgd.genome.ad.jp/rdf/resource/organism/ana	http://identifiers.org/taxonomy/103690
http://mbgd.genome.ad.jp/rdf/resource/organism/wko	http://identifiers.org/taxonomy/1045854
http://mbgd.genome.ad.jp/rdf/resource/organism/say	http://identifiers.org/taxonomy/1051632
http://mbgd.genome.ad.jp/rdf/resource/organism/tar	http://identifiers.org/taxonomy/1054217
http://mbgd.genome.ad.jp/rdf/resource/organism/clg	http://identifiers.org/taxonomy/1056495
http://mbgd.genome.ad.jp/rdf/resource/organism/fra	http://identifiers.org/taxonomy/106370
http://mbgd.genome.ad.jp/rdf/resource/organism/med	http://identifiers.org/taxonomy/1064535
http://mbgd.genome.ad.jp/rdf/resource/organism/ncs	http://identifiers.org/taxonomy/1064592
http://mbgd.genome.ad.jp/rdf/resource/organism/tpf	http://identifiers.org/taxonomy/1071381
http://mbgd.genome.ad.jp/rdf/resource/organism/gm02952	http://identifiers.org/taxonomy/1071383
http://mbgd.genome.ad.jp/rdf/resource/organism/buc	http://identifiers.org/taxonomy/107806
http://mbgd.genome.ad.jp/rdf/resource/organism/phl	http://identifiers.org/taxonomy/1082931
